symbol,name,type,currency,inception_date,sector,industry
HLT,Hilton Worldwide,COMPANY,USD,2017-06-19,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
HOLX,Hologic,COMPANY,USD,2016-03-30,Health Care,Health Care Equipment
HON,Honeywell,COMPANY,USD,1964-03-31,Industrials,Industrial Conglomerates
HPE,Hewlett Packard Enterprise,COMPANY,USD,2015-11-02,Information Technology,"Technology Hardware, Storage & Peripherals"
HPQ,HP,COMPANY,USD,1974-12-31,Information Technology,"Technology Hardware, Storage & Peripherals"
HRL,Hormel,COMPANY,USD,2009-03-04,Consumer Staples,Packaged Foods & Meats
HSIC,Henry Schein,COMPANY,USD,2015-03-17,Health Care,Health Care Distributors
HST,Host Hotels & Resorts,COMPANY,USD,2007-03-20,Real Estate,Hotel & Resort REITs
HSY,The Hershey Company,COMPANY,USD,1957-03-04,Consumer Staples,Packaged Foods & Meats
HUM,Humana,COMPANY,USD,,Health Care,Managed Health Care
HWM,Howmet Aerospace,COMPANY,USD,1964-03-31,Industrials,Aerospace & Defense
IBM,IBM,COMPANY,USD,1957-03-04,Information Technology,IT Consulting & Other Services
ICE,Intercontinental Exchange,COMPANY,USD,2007-09-26,Financials,Financial Exchanges & Data
IDXX,Idexx Laboratories,COMPANY,USD,2017-01-05,Health Care,Health Care Equipment
IEX,IDEX Corporation,COMPANY,USD,2019-08-09,Industrials,Industrial Machinery
IFF,International Flavors & Fragrances,COMPANY,USD,1976-03-31,Materials,Specialty Chemicals
ILMN,Illumina,COMPANY,USD,2015-11-19,Health Care,Life Sciences Tools & Services
INCY,Incyte,COMPANY,USD,2017-02-28,Health Care,Biotechnology
INFO,IHS Markit,COMPANY,USD,2017-06-02,Industrials,Research & Consulting Services
INTC,Intel,COMPANY,USD,1976-12-31,Information Technology,Semiconductors
INTU,Intuit,COMPANY,USD,2000-12-05,Information Technology,Application Software
IP,International Paper,COMPANY,USD,1957-03-04,Materials,Paper Packaging
IPG,Interpublic Group,COMPANY,USD,1992-10-01,Communication Services,Advertising
IPGP,IPG Photonics,COMPANY,USD,2018-03-07,Information Technology,Electronic Manufacturing Services
IQV,IQVIA,COMPANY,USD,2017-08-29,Health Care,Life Sciences Tools & Services
IR,Ingersoll Rand,COMPANY,USD,2020-03-03,Industrials,Industrial Machinery
